trader_id,trader_name,region,is_active
1001,Alice Smith,North America,True
1002,Bob Jones,Europe,True
1003,Charlie Davis,Asia,False
1004,Diana Evans,South America,True
1005,Edward Wilson,Africa,False
1006,Fiona Brown,Australia,True
1007,George Clark,Europe,True
1008,Hannah Lewis,North America,False
1009,Ian Walker,Asia,True
1010,Jane Hall,South America,True
1011,Kevin Young,Africa,True
1012,Linda King,Australia,False
1013,Michael Scott,North America,True
1014,Nancy Green,Europe,True
1015,Oliver Adams,Asia,False
1016,Patricia Baker,South America,True
1017,Quincy Carter,Africa,True
1018,Rachel Turner,Australia,True
1019,Steven Phillips,North America,False
1020,Tina Campbell,Europe,True
1021,Uma Mitchell,Asia,True
1022,Victor Roberts,South America,False
1023,Wendy Parker,Africa,True
1024,Xander Evans,Australia,True
1025,Yvonne Collins,North America,True
1026,Zachary Stewart,Europe,False
1027,Aaron Morris,Asia,True
1028,Bethany Rogers,South America,True
1029,Carl Reed,Africa,False
1030,Daphne Cook,Australia,True
1031,Ethan Morgan,North America,True
1032,Faith Bell,Europe,True
1033,Gavin Murphy,Asia,False
1034,Holly Bailey,South America,True
1035,Isaac Rivera,Africa,True
1036,Jasmine Cooper,Australia,False
1037,Kyle Richardson,North America,True
1038,Lauren Cox,Europe,True
1039,Mason Howard,Asia,True
1040,Nora Ward,South America,False
1041,Owen Torres,Africa,True
1042,Peyton Peterson,Australia,True
1043,Quinn Gray,North America,True
1044,Riley James,Europe,False
1045,Sara Watson,Asia,True
1046,Tyler Brooks,South America,True
1047,Ulysses Kelly,Africa,False
1048,Vanessa Sanders,Australia,True
1049,Wyatt Price,North America,True
1050,Ximena Bennett,Europe,True
1051,Yusuf Wood,Asia,False
1052,Zoe Barnes,South America,True
1053,Aiden Ross,Africa,True
1054,Brianna Henderson,Australia,False
1055,Caleb Coleman,North America,True
1056,Delilah Jenkins,Europe,True
1057,Elijah Perry,Asia,True
1058,Freya Powell,South America,False
1059,Grayson Long,Africa,True
1060,Hazel Patterson,Australia,True
1061,Isaiah Hughes,North America,False
1062,Jocelyn Flores,Europe,True
1063,Kingston Washington,Asia,True
1064,Lila Butler,South America,True
1065,Maxwell Simmons,Africa,False
1066,Natalie Foster,Australia,True
1067,Omar Gonzales,North America,True
1068,Penelope Bryant,Europe,True
